Room Number,Room Name,Location,Capacity,Category,Furniture Type,Digital Projection,Projector Screen,DVD,VHS,Visualiser,Radio Mic,TV monitor,Interactive Whiteboard,Whiteboard (s),Other,Black Out Blinds,Telephone Extension,Comments,Space controlled by 
WB.1.16,ADI  Writing Centre,West Building,20,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
WB.1.21,Digital Media Studio,West Building,11,flat room,specialist workstations,,,,,,,,,,,,N/A,Limited to ADI bookings only,ADI
WB.1.26,ADI Mac Laboratory 2,West Building,20,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
WB.1.27,ADI Mac Laboratory 1,West Building,20,flat room,specialist workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
WB.2.01,WB.2.01,West Building,60,flat room,chairs with writing tablets,●,●,●,●,●,,,,●,,,x7133,Hard flooring,Facilties 
WB.2.03,WB.2.03,West Building,40,flat room,tables and chairs,●,●,●,●,,,,,●,,,x7121,,Facilties 
WB.2.04,WB.2.04,West Building,40,flat room,tables and chairs,●,●,●,●,,,,,●,,,x7127,,Facilties 
WB.2.05,WB.2.05,West Building,40,flat room,tables and chairs,●,●,●,●,,,,,●,,,x7136,,Facilties 
WB.2.06,WB.2.06,West Building,40,flat room,tables and chairs,●,●,●,●,,,,,●,,,x7112,,Facilties 
WB.2.07,WB.2.07,West Building,25,flat room,chairs with writing tablets,●,●,●,,,,,,●,,,,,Facilties 
WB.3.01,WB.3.01,West Building,70,flat room,chairs with writing tablets,●,●,●,●,,,,,●●,,●,x7142,Hard flooring,Facilties 
WB.3.02,WB.3.02,West Building,70,flat room,chairs with writing tablets,●,●,●,●,,,,,●●,,,x7139,Hard flooring,Facilties 
WB.G.02,WB.G.02,West Building,237,tiered room,tiered seating,●,,●, ,●,●,,,,,,x6448,,Facilties 
WB.G.03,ADI Audio Live Room,West Building,5,flat room,specialist workstations,,,,,,,,,,,,N/A,Limited to ADI bookings only,ADI
WB.G.05,ADI Multi-purpose Studio 1,West Building,20,flat room,specialist workstations,,,,,,,,,,,,N/A,Limited to ADI bookings only,ADI
WB.G.09,ADI Multi-purpose Studio 2,West Building,20,flat room,specialist workstations,,,,,,,,,,,,N/A,Limited to ADI bookings only,ADI
WBF,West Building Foyer,West Building,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
