,,,Lecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Practical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Break out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lecture (o),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Seminar  (o),,,,,,,,,,IT,,,,,,,,,,,,,,,,,,,,,
,,,Tutorial  (o),,,,,,,,,,Specialist,,,,,,,,,,,,,,,,,,,,,
,,,Workshop  (o),Term 1,,,,,,,,,Flat,,,,,,,,,,,,,,,,,,,,,
,,,Practical  (o),Term 2,,,,,,,,,Tiered,,,,,,,,,,,,,,,,,,,,,
,,,Combined  (o),Term 1 & 2,,,,,,,,,Harvard,,,,,,,,,,,,,,,,,,,,,
Programme,Module Code,Module Name,Category,Term,Day,Start,End,Hours,Group,Group size,Staff,Module Leader,Room type,Number of students ,,,Contact hour per week,Contact time per year,Student number ,Computing,Dori,Mufy,Mufy,AS comments,Mufy,AS comments,Mufy,,AS comments 19/09/2016,Comments ,as comment,Mufy,AS comments,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Lecture,1,Monday,14:00,16:00,02:00,0,100,Gaurav Malik,ML,MLT,49 + new students ,,,10,5,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Monday,16:00,18:00,02:00,1,25,Gaurav Malik,,KD.2.14,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Tuesday,16:00,18:00,02:00,2,25,Gaurav Malik,,KD.2.28,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Tuesday,09:00,11:00,02:00,3,25,Gaurav Malik,,ITC03,,,,,,,,,,,,,,,,,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Monday,16:00,18:00,02:00,4,25,Fahimeh Jafari,,KD.2.28,,,,,,,,Update room to KD.2.28,,"Update room  (mon 4-6, KD.2.28)",updated,,,,,,Add Fahimeh Jafari into the slot ,FJ not on CELCAT yet,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Thursday,11:00,13:00,02:00,5,25,Fahimeh Jafari,,ITC1-ITC5,,,,,,,,,,,,,,"Please book the following slot (Fri 9-11, ITC1-ITC5)",,ITC02 booked,,,,,
"C4B, CS, CASS",CN4106,Introduction to Web Technologies,Practicals,1,Wednesday,11:00,13:00,02:00,6,25,Fahimeh Jafari,,KD.2.28,,,,,,,,,,,,Update tutor,Member of staff not on CELCAT yet - cannot be updated until contract has ben signed if new,,s been signed ,,This slot does not appear in Celcat ,KD2.28 booked as requested group 6,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,CN4107,Maths for Computing ,Lecture,2,Monday,11:00,13:00,02:00,0,100,Quentin Charatan,ML,EB.2.44,49 + new students ,,,10,5,,Q Charatan ?,Timetable shows 11-13,Updated,,,,,,,,,,,,
CS,CN4107,Maths for Computing ,Tutorial,2,Tuesday,11:00,13:00,02:00,1,25,Quentin Charatan,,EB.G.10,,,,,,,,,,,,,,,,,,,,,
CS,CN4107,Maths for Computing ,Tutorial,2,Tuesday,14:00,16:00,02:00,2,25,Quentin Charatan,,EB1.105,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CS, C4B",CN5101,Database Systems,Lecture,1 & 2,Tuesday,09:00,10:00,01:00,0,75,Mufajjul Ali,ML,WB.G.02,124,,,11,11,,,,,,,,,,,,,,,,
"CS, C4B",CN5101,Database Systems,Practicals,1 & 2,Tuesday,10:00,12:00,02:00,1,25,Mufajjul Ali,,ITC11,,,,,,,,,,,,,,,,,,,,,
"CS, C4B,",CN5101,Database Systems,Practicals,1 & 2,Tuesday,10:00,12:00,02:00,2,25,Arish Siddiqui,,ITC12,,,,,,,,,,,,,,,,,,,,,
"CS, C4B",CN5101,Database Systems,Practicals,1 & 2,Thursday,09:00,11:00,02:00,3,25,Helen Bear,,ITC 11,,,,,,,,,,,,Update tutor,Member of staff not on CELCAT yet - cannot be updated until contract has been signed,Plese update the room to any ITC (1-5) room,,ITC11 booked ,,,,,
"CS, C4B",CN5101,Database Systems,Practicals,1 & 2,Thursday,09:00,11:00,02:00,4,25,Solomon Alexis,,ITC12,,,,,,,Do we need 4 grps?,Should I cancel it?,Hold on to it until we get a definitive number of students,,,,,,,,Remove Julie Wall from the slot ,removed,"Please update tutorial room & tutor (Solomon, Alexsis, ITC 12)",requested ITC room  + updated Solomon Alexis,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN retakes only,CN5109,Web Application Development ,Lecture,1 & 2,Tuesday,14:00,15:00,01:00,0,75,Andres Baravalle,ML,,77,,,7,7,,Release room,,Please book KD.2.28 for the lecture,,EBG.06 cancelled booked into KD2.28,,,,,,,,,,Cancel Slot
CN retakes only,CN5109,Web Application Development ,Practicals,1 & 2,Tuesday,15:00,17:00,02:00,1,25,Andres Baravalle,,,,,,,,,Release room,,,,,Update tutor,updated,,,,,,,,Cancel Slot
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,CN5122,Data Communications and Networks ,Lecture,1 & 2,Friday,09:00,10:00,01:00,0,75,Aloysius Edoh/Amin Karami/Fahimeh Jafari,ML,EB.3.16,81,,,7,7,,,,,,,,,,,,Please add Fahimed Jafari into the staff list,FJ no on CELCAT yet,,,
CS,CN5122,Data Communications and Networks ,Practicals,1 & 2,Friday,15:00,17:00,02:00,1,25,Amin Karami,,KD.2.14,,,,,,,,timetable shows KD.2.28,Updated,,,,,,,,,,,,
CS,CN5122,Data Communications and Networks ,Practicals,1 & 2,Friday,15:00,17:00,02:00,2,25,Aloysius Edoh,,KD.2.15,,,,,,,,,,,,,,,,,,,,,
CS,CN5122,Data Communications and Networks ,Practicals,1 & 2,Friday,15:00,17:00,02:00,3,25,Paul Bombo,,KD.2.28,,,,,,,new group created,Should I book one of the ITC rooms? ,,"Please update the slot (Fri 3-5, KD.2.28)",Booked KD2.28 as requested for group 3 - not 2 as they are booked in KD2.15 is this correct?,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4B ,CN5110,Information Systems Management and Strategy ,Lecture,1 & 2,Friday,10:00,11:00,01:00,0,50,,ML,EB.1.04,43,,,5,5,,,changed module to CN5210,,,,,,,,,This is not scheduled in Celcat ,This module was requested as not in use on DELTA 2016/7 as per email from Dori to Systems & Courses  13/07/2016 - please advise?,,,
C4B ,CN5110,Information Systems Management and Strategy ,Practicals,1 & 2,Friday,11:00,13:00,02:00,1,25,,,KD.2.15,,,,,,,,,,,,,,,,,This is not scheduled in Celcat ,ditto,,,
C4B ,CN5110,Information Systems Management and Strategy ,Practicals,1 & 2,Friday,15:00,17:00,02:00,2,25,,,KD.2.15,,,,,,,,,,,,,,,,,This is not scheduled in Celcat ,ditto,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,CN5103,Operating Systems,Lecture,1,Thursday,09:00,11:00,02:00,0,50,Usman Naeem,ML,EB.G.10,47,,,6,3,,,,,,,,,,,,,,,,
CS,CN5103,Operating Systems,Practicals,1,Friday,13:00,15:00,02:00,1,25,Paul Bombo,,KD.2.15,,,,,,,,Timetable shows on Fri 13-15 Kd.2.15 ,Updated,,,Cancel KD.2.14 (Mon 3-5),cancelled,,,,,,,,
CS,CN5103,Operating Systems,Practicals,1,Thursday,11:00,13:00,02:00,2,25,Usman Naeem,,KD.2.14,,,,,,,,Timetable shows on Thu 11-13 Kd.2.14 ,Updated,,,Cancel KD.2.15 (Mon 3-5),cancelled,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
